id,img_warm,img_cool,img_low_res,img_mid_res,img_high_res,img_bright_low,img_bright_medium,img_bright_high,img_bright_very_high,img_bedroom,img_kitchen,img_bathroom,img_living_room,img_dining_room,img_balcony,img_not_a_room
27886,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
28871,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
29051,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
44391,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
50263,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
50523,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
53921,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
55709,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
62015,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
155548,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
158633,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
168769,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
171054,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
188347,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
189754,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1
190943,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
193038,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
212050,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
213371,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
214531,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
217752,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
245927,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
247805,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0
252080,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
254104,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
254800,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
255809,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
256670,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
262394,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
283170,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
286500,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
